ID|name|赛季|球队|场次|首发|时间|投篮|命中率|三分|命中率|罚球|命中率|篮板|助攻|抢断|盖帽|失误|犯规|得分
10012|马特-邦纳(Matt Bonner)|2005|猛龙|78|6|21.9|2.7-6.0|44.8%|1.3-3.1|42.0%|0.8-1.0|82.9%|3.6|0.7|0.63|0.40|0.41|2.77|7.5
10012|马特-邦纳(Matt Bonner)|2006|马刺|56|0|11.7|1.9-4.2|44.7%|0.6-1.7|38.3%|0.5-0.7|71.1%|2.8|0.4|0.30|0.20|0.45|1.20|4.9
10012|马特-邦纳(Matt Bonner)|2007|马刺|68|3|12.5|1.8-4.3|41.6%|0.7-2.0|33.6%|0.6-0.6|86.4%|2.8|0.5|0.21|0.25|0.57|1.63|4.8
10012|马特-邦纳(Matt Bonner)|2008|马刺|81|67|23.8|3.3-6.6|49.6%|1.5-3.3|44.0%|0.2-0.3|73.9%|4.8|1.0|0.58|0.32|0.46|2.35|8.2
10012|马特-邦纳(Matt Bonner)|2009|马刺|65|8|17.9|2.6-5.7|44.6%|1.4-3.6|39.0%|0.5-0.7|72.9%|3.3|1.0|0.46|0.37|0.60|1.68|7.0
10012|马特-邦纳(Matt Bonner)|2010|马刺|66|1|21.7|2.6-5.6|46.4%|1.6-3.5|45.7%|0.5-0.7|74.4%|3.6|0.9|0.39|0.32|0.41|1.67|7.3
10012|马特-邦纳(Matt Bonner)|2011|马刺|65|2|20.4|2.4-5.4|44.0%|1.6-3.8|42.0%|0.2-0.3|76.2%|3.3|0.9|0.23|0.32|0.22|1.05|6.6
10012|马特-邦纳(Matt Bonner)|2012|马刺|68|4|13.4|1.6-3.4|48.7%|0.8-1.8|44.2%|0.2-0.2|73.3%|1.9|0.5|0.25|0.28|0.24|1.26|4.2
10012|马特-邦纳(Matt Bonner)|2013|马刺|61|0|11.3|1.2-2.7|44.5%|0.7-1.6|42.9%|0.1-0.2|75.0%|2.1|0.5|0.25|0.18|0.26|0.80|3.2
10014|奥斯丁-达耶(Austin Daye)|2009|活塞|69|4|13.3|2.0-4.3|46.4%|0.4-1.4|30.5%|0.7-0.8|82.1%|2.5|0.5|0.36|0.38|0.70|1.65|5.1
10014|奥斯丁-达耶(Austin Daye)|2010|活塞|72|16|20.1|2.7-6.5|41.0%|1.0-2.4|40.1%|1.1-1.5|75.9%|3.8|1.1|0.54|0.54|0.82|2.29|7.5
10014|奥斯丁-达耶(Austin Daye)|2011|活塞|41|4|14.7|1.8-5.5|32.2%|0.3-1.5|21.0%|0.9-1.0|81.4%|2.2|0.8|0.54|0.51|0.98|1.51|4.7
10014|奥斯丁-达耶(Austin Daye)|2012|汇总|55|0|12.3|1.6-3.8|43.3%|0.7-1.8|41.8%|0.5-0.6|76.5%|2.2|0.8|0.25|0.40|0.53|1.49|4.5
10014|奥斯丁-达耶(Austin Daye)|2012|活塞|24|0|14.5|1.8-4.0|44.3%|0.9-1.7|52.5%|0.6-0.8|83.3%|2.6|0.9|0.21|0.33|0.54|1.79|5.1
10014|奥斯丁-达耶(Austin Daye)|2012|灰熊|31|0|10.6|1.5-3.6|42.3%|0.6-1.9|34.5%|0.4-0.5|68.8%|1.9|0.7|0.29|0.45|0.52|1.26|4.0
10014|奥斯丁-达耶(Austin Daye)|2013|汇总|22|1|6.7|1.1-3.1|35.3%|0.5-1.7|32.4%|0.3-0.5|60.0%|1.2|0.4|0.18|0.18|0.23|0.82|3.0
10014|奥斯丁-达耶(Austin Daye)|2013|猛龙|8|0|4.1|0.4-1.6|23.1%|0.0-1.0|0.0%|0.2-0.4|66.7%|0.9|0.2|0.00|0.00|0.00|0.50|1.0
10014|奥斯丁-达耶(Austin Daye)|2013|马刺|14|1|8.2|1.5-3.9|38.2%|0.9-2.1|41.4%|0.3-0.5|57.1%|1.4|0.4|0.29|0.29|0.36|1.00|4.1
10016|阿隆-贝恩斯(Aron Baynes)|2012|马刺|16|0|8.8|1.1-2.2|50.0%|0.0-0.1|0.0%|0.4-0.8|58.3%|2.0|0.3|0.06|0.38|0.69|1.44|2.7
10016|阿隆-贝恩斯(Aron Baynes)|2013|马刺|53|4|9.3|1.3-3.1|43.6%|0.0-0.0|0.0%|0.4-0.4|90.5%|2.7|0.6|0.04|0.09|0.68|1.45|3.0
10017|扎克-兰多夫(Zach Randolph)|2001|开拓者|41|0|5.8|1.2-2.6|44.9%|0.0-0.0|0.0%|0.4-0.7|66.7%|1.7|0.3|0.17|0.10|0.37|0.71|2.8
10017|扎克-兰多夫(Zach Randolph)|2002|开拓者|77|11|16.9|3.4-6.7|51.3%|0.0-0.1|0.0%|1.6-2.1|75.8%|4.5|0.5|0.55|0.18|0.81|1.83|8.4
10017|扎克-兰多夫(Zach Randolph)|2003|开拓者|81|80|37.9|8.2-16.9|48.5%|0.0-0.1|20.0%|3.7-4.9|76.1%|10.5|2.0|0.84|0.51|3.05|2.80|20.1
10017|扎克-兰多夫(Zach Randolph)|2004|开拓者|46|37|34.8|7.2-16.1|44.8%|0.0-0.1|0.0%|4.5-5.5|81.5%|9.6|1.9|0.74|0.37|2.43|2.43|18.9
10017|扎克-兰多夫(Zach Randolph)|2005|开拓者|74|71|34.4|7.2-16.6|43.6%|0.2-0.7|29.1%|3.3-4.6|71.4%|8.0|1.9|0.77|0.19|2.23|2.50|18.0
10017|扎克-兰多夫(Zach Randolph)|2006|开拓者|68|67|35.7|8.8-18.9|46.7%|0.2-0.7|29.2%|5.8-7.1|81.9%|10.1|2.2|0.78|0.22|3.16|2.71|23.6
10017|扎克-兰多夫(Zach Randolph)|2007|尼克斯|69|68|32.5|7.0-15.3|45.9%|0.3-1.2|27.5%|3.2-4.2|77.2%|10.3|2.0|0.86|0.23|2.70|2.81|17.6
10017|扎克-兰多夫(Zach Randolph)|2008|汇总|50|45|35.1|8.3-17.5|47.5%|0.6-1.9|33.0%|3.6-4.9|73.4%|10.1|2.1|0.86|0.32|2.28|2.66|20.8
10017|扎克-兰多夫(Zach Randolph)|2008|尼克斯|11|11|35.3|7.5-17.2|43.4%|0.6-2.2|29.2%|5.0-6.1|82.1%|12.5|1.4|1.18|0.27|2.09|2.55|20.5
10017|扎克-兰多夫(Zach Randolph)|2008|快船|39|34|35.1|8.5-17.5|48.7%|0.6-1.9|34.2%|3.2-4.5|70.1%|9.4|2.3|0.77|0.33|2.33|2.69|20.9
10017|扎克-兰多夫(Zach Randolph)|2009|灰熊|81|81|37.7|8.0-16.5|48.8%|0.2-0.6|28.8%|4.5-5.7|77.8%|11.7|1.8|0.99|0.42|2.15|2.79|20.8
10017|扎克-兰多夫(Zach Randolph)|2010|灰熊|75|74|36.3|8.0-15.8|50.3%|0.1-0.6|18.6%|4.0-5.3|75.8%|12.2|2.2|0.84|0.33|2.01|2.33|20.1
10017|扎克-兰多夫(Zach Randolph)|2011|灰熊|28|8|26.2|4.7-10.2|46.3%|0.1-0.3|25.0%|2.1-3.1|65.9%|8.0|1.7|0.75|0.14|1.43|2.04|11.6
10017|扎克-兰多夫(Zach Randolph)|2012|灰熊|76|75|34.3|6.2-13.5|46.0%|0.0-0.3|8.7%|3.0-3.9|75.0%|11.2|1.4|0.80|0.41|1.97|2.37|15.4
10017|扎克-兰多夫(Zach Randolph)|2013|灰熊|79|79|34.2|7.1-15.2|46.7%|0.0-0.3|10.0%|3.2-4.3|74.2%|10.1|2.5|0.68|0.29|2.32|2.66|17.4
10018|马克-加索尔(Marc Gasol)|2008|灰熊|82|75|30.7|4.3-8.1|53.0%|0.0-0.0|0.0%|3.4-4.6|73.3%|7.4|1.7|0.77|1.10|2.00|3.23|11.9
10018|马克-加索尔(Marc Gasol)|2009|灰熊|69|69|35.8|5.5-9.4|58.1%|0.0-0.0|0.0%|3.7-5.4|67.0%|9.3|2.4|1.00|1.58|1.96|3.68|14.6
10018|马克-加索尔(Marc Gasol)|2010|灰熊|81|81|31.9|4.5-8.5|52.7%|0.0-0.1|42.9%|2.7-3.6|74.8%|7.0|2.5|0.91|1.68|1.80|3.27|11.7
10018|马克-加索尔(Marc Gasol)|2011|灰熊|65|65|36.5|5.5-11.4|48.2%|0.0-0.2|8.3%|3.6-4.9|74.8%|8.9|3.1|0.95|1.86|1.86|3.09|14.6
10018|马克-加索尔(Marc Gasol)|2012|灰熊|80|80|35.0|5.4-10.9|49.4%|0.0-0.2|7.1%|3.4-4.0|84.8%|7.8|4.0|1.00|1.74|1.96|3.19|14.1
10018|马克-加索尔(Marc Gasol)|2013|灰熊|59|59|33.4|5.7-12.1|47.3%|0.0-0.2|18.2%|3.1-4.1|76.8%|7.2|3.6|1.00|1.29|1.88|2.54|14.6
