ID|name|website|profile|heigh|position|weight|birth|team|school|xuanxiu|born|salary|contract|regular race|season race
10051|Chandler Parsons|http://g.hupu.com/nba/players/chandlerparsons-3584.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/3584_274.png|2.06|F(25号)|103|593712000.0|达拉斯小牛|佛罗里达大学|2011年第2轮第8顺位|美国|1470|3年4608万，2014/7/16签，2017夏到期，2016夏球员选项|3|2
10052|Tyson Chandler|http://g.hupu.com/nba/players/tysonchandler-326.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/326_355.jpg|2.16|C(6号)|111|402336000.0|达拉斯小牛||2001年第1轮第2顺位|美国|1459|4年5658万美元，2011/12/11签，2015夏到期|13|8
10053|Charlie Villanueva|http://g.hupu.com/nba/players/charlievillanueva-1039.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/1039_636.jpg|2.11|PF(3号)|105|462124800.0|达拉斯小牛|康涅狄格大学|2005年第1轮第7顺位|美国|858|5年3770万，2009/7/8签，2014夏到期|9|0
10054|Monta Ellis|http://g.hupu.com/nba/players/montaellis-1111.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/1111_456.jpg|1.91|G(11号)|84|499104000.0|达拉斯小牛||2005年第2轮第10顺位|美国|836|3年2500万，2013/7/23签，2016夏到期，2015夏球员选项|11|3
10055|Dirk Nowitzki|http://g.hupu.com/nba/players/dirknowitzki-940.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/940.jpg|2.13|F/C(41号)|111|267033600.0|达拉斯小牛||1998年第1轮第9顺位|西德|797|3年2500万，2014/7/16签，2017夏到期★拥有不可交易条款|16|13
10056|Brandan Wright|http://g.hupu.com/nba/players/brandanwright-1238.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/1238.jpg|2.08|F/C(34号)|109|560361600.0|达拉斯小牛|北卡罗莱纳大学|2007年第1轮第8顺位|美国|500|2年1000万，2013/7/25签，2015夏到期|8|2
10057|Devin Harris|http://g.hupu.com/nba/players/devinharris-480.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/480_437.jpg|1.91|G(20号)|84|415123200.0|达拉斯小牛|威斯康星大学|2004年第1轮第5顺位|美国|388|4年1650万，2014/7/18签，2018夏到期★17-18赛季部分保障|14|6
10058|Raymond Felton|http://g.hupu.com/nba/players/raymondfelton-1045.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/1045_996.jpg|1.85|G(2号)|93|457027200.0|达拉斯小牛|北卡罗莱纳大学|2005年第1轮第5顺位|美国|379|4年1486万，2012/7/16签，2016夏到期，2015夏球员选项|11|3
10059|Jameer Nelson|http://g.hupu.com/nba/players/jameernelson-686.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/686_850.jpg|1.83|PG(14号)|86|382032000.0|达拉斯小牛|圣约瑟夫学院|2004年第1轮第20顺位|美国|273|2年560万，2014/7/25签，2016夏到期★15-16赛季球员选项|10|6
10060|Richard Jefferson|http://g.hupu.com/nba/players/richardjefferson-67.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/67_135.png|2.01|SF(24号)|106|330364800.0|达拉斯小牛|亚利桑那大学|2001年第1轮第13顺位|美国|144|1年底薪，2010/7/21签，2015夏到期|15|9
10061|Al-Farouq Aminu|http://g.hupu.com/nba/players/alfarouqaminu-3456.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/3456_616.jpg|2.06|SF(7号)|98|653846400.0|达拉斯小牛|维克森林大学|2010年第1轮第8顺位|美国|98|两年208万，2015-16赛季球员选项，2017年夏天到期|4|0
10062|Greg Smith|http://g.hupu.com/nba/players/gregsmith-3631.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/3631_722.jpg|2.08|F/C(4号)|113|663264000.0|达拉斯小牛|加利福尼亚州立大学弗雷斯诺分校||美国|94|2年底薪，2014/4/10签，2015夏到期|3|1
10063|Jae Crowder|http://g.hupu.com/nba/players/jaecrowder-3671.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/3671.jpg|1.98|F(9号)|107|647190000.0|达拉斯小牛|马奎特大学|2012年第2轮第4顺位|美国|91|3年230万，2012/7/21签，2015夏到期|2|1
10064|Ricky Ledo|http://g.hupu.com/nba/players/rickyledo-4793.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/4793.jpg|2.01|SG(1号)|91|716054400.0|达拉斯小牛|普罗维登斯学院|2013年第2轮第13顺位|美国|81|4年332万，2013/7/24签，2017夏到期★15-16赛季与16-17赛季无保障|1|0
10065|Gal Mekel|http://g.hupu.com/nba/players/galmekel-4795.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/4795.jpg|1.91|G(33号)|92|573408000.0|达拉斯小牛|威奇塔州立大学||以色列|81|3年底薪，2013/7/11签，2016夏到期|1|0
10066|Eric Gordon|http://g.hupu.com/nba/players/ericgordon-3015.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/3015_444.jpg|1.93|SG(10号)|98|598982400.0|新奥尔良鹈鹕|印第安纳大学|2008年第1轮第7顺位|美国|1489|4年5836万，2012/7/12签，2016夏到期，2015夏球员选项|6|0
10067|Tyreke Evans|http://g.hupu.com/nba/players/tyrekeevans-3349.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/3349_754.jpg|1.98|G/F(1号)|100|622137600.0|新奥尔良鹈鹕|孟菲斯大学|2009年第1轮第4顺位|美国|1076|4年4398万，2013/7/10签，2017夏到期|5|0
10068|Jrue Holiday|http://g.hupu.com/nba/players/jrueholiday-3346.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/3346_476.jpg|1.93|PG(11号)|93|645116400.0|新奥尔良鹈鹕|加州大学洛杉矶分校|2009年第1轮第17顺位|美国|990|4年4100万，2012/11/1签，2013夏生效，2017夏到期|5|2
10069|Ryan Anderson|http://g.hupu.com/nba/players/ryananderson-3046.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/3046_409.jpg|2.08|F/C(33号)|109|578847600.0|新奥尔良鹈鹕|加利福尼亚大学|2008年第1轮第21顺位|美国|849|4年3400万，2012/7/12签，2016夏到期|6|3
10070|Omer Asik|http://g.hupu.com/nba/players/omerasik-3068.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/3068_588.jpg|2.13|F/C(3号)|116|520786800.0|新奥尔良鹈鹕||2008年第2轮第6顺位|土耳其|837|3年2512万，2012/7/23签，2015夏到期|4|4
10071|John Salmons|http://g.hupu.com/nba/players/johnsalmons-775.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/775_473.jpg|1.98|G/F(15号)|94|313776000.0|新奥尔良鹈鹕|佛罗里达迈阿密大学|2002年第1轮第26顺位|美国|758|5年4000万，2010/7/8签，2015夏到期★若在2014/7/1前被裁，其14-15赛季薪金只有100万受保障|18|5
10072|Anthony Davis|http://g.hupu.com/nba/players/anthonydavis-3638.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/3638_689.jpg|2.08|F/C(23号)|100|731779200.0|新奥尔良鹈鹕|肯塔基大学|2012年第1轮第1顺位|美国|560|4年2320万，2012/7/19签，2016夏到期，2015夏球队选项|2|0
10073|Austin Rivers|http://g.hupu.com/nba/players/austinrivers-3647.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/3647_813.jpg|1.93|G(25号)|91|712598400.0|新奥尔良鹈鹕|杜克大学|2012年第1轮第10顺位|美国|243|4年1013万，2012/7/19签，2016夏到期，2015夏球队选项|2|0
10074|Luke Babbitt|http://g.hupu.com/nba/players/lukebabbitt-3464.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/3464.jpg|2.06|SF(8号)|98|614271600.0|新奥尔良鹈鹕|内华达大学|2010年第1轮第16顺位|美国|98|2年底薪，2014/2/4签，2015夏到期★无保障合同|4|0
10075|Alexis Ajinca|http://g.hupu.com/nba/players/alexisajinca-3060.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/3060.jpg|2.13|F/C(42号)|112|578847600.0|新奥尔良鹈鹕||2008年第1轮第20顺位|法国|98|2年底薪，2013/12/21签，2015夏到期|6|0
10076|Jimmer Fredette|http://g.hupu.com/nba/players/jimmerfredette-3563.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/3563_969.png|1.88|G(32号)|88|604339200.0|新奥尔良鹈鹕|杨百翰大学|2011年第1轮第10顺位|美国|95|1年底薪，2015夏到期|5|0
10077|Jeff Withey|http://g.hupu.com/nba/players/jeffwithey-4782.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/4782.jpg|2.13|C(5号)|107|636739200.0|新奥尔良鹈鹕|堪萨斯大学|2013年第2轮第9顺位|美国|81|2年底薪，2013/7/29签，2015夏到期★14-15赛季无保障|1|0
10078|Darius Miller|http://g.hupu.com/nba/players/dariusmiller-3683.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/3683_300.jpg|2.03|G/F(2号)|102|637948800.0|新奥尔良鹈鹕|肯塔基大学|2012年第2轮第16顺位|美国|78|2年底薪，2012/8/23签，2014夏到期★13-14赛季无保障|2|0
10079|Russ Smith|http://g.hupu.com/nba/players/russsmith-4924.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/4924_314.png|1.83|PG(9号)|75|671986800.0|新奥尔良鹈鹕|路易斯维尔大学|2014年第2轮第17顺位|美国|50|3年底薪，2014/7/16签，2017夏到期★15-16与16-17赛季无保障|0|0
10080|Vernon Macklin|http://g.hupu.com/nba/players/vernonmacklin-3605.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/3605_876.jpg|2.08|PF(35号)|103|559497600.0|新奥尔良鹈鹕|佛罗里达大学|2011年第2轮第22顺位|美国|||1|0
10081|Patric Young|http://g.hupu.com/nba/players/patricyoung-4973.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/4973_741.jpg|2.06|PF(4号)|109|696873600.0|新奥尔良鹈鹕|佛罗里达大学||美国|||0|0
10082|Goran Dragic|http://g.hupu.com/nba/players/gorandragic-3074.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/3074_622.jpg|1.91|G(1号)|86|515689200.0|菲尼克斯太阳||2008年第2轮第15顺位|南斯拉夫|750|4年3000万，2012/7/11签，2016夏到期，2015夏球员选项|8|1
10083|Isaiah Thomas|http://g.hupu.com/nba/players/isaiahthomas-3613.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/3613_995.jpg|1.75|PG(3号)|84|602784000.0|菲尼克斯太阳|华盛顿大学|2011年第2轮第30顺位|美国|723|4年2700万，2014/7/12签，2018夏到期|3|0
10084|P.J. Tucker|http://g.hupu.com/nba/players/pjtucker-1258.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/1258_347.jpg|1.98|G/F(17号)|118|484070400.0|菲尼克斯太阳|德克萨斯大学|2006年第2轮第5顺位|美国|511|3年1650万，2014/7/24签，2017夏到期★16-17赛季部分保障|3|0
10085|Alex Len|http://g.hupu.com/nba/players/alexlen-4823.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/4823.jpg|2.16|C(21号)|118|740160000.0|菲尼克斯太阳|马里兰大学|2013年第1轮第5顺位|乌克兰|364|4年1577万，2013/8/29签，2017夏到期，15&amp;16夏球队选项|1|0
10086|Gerald Green|http://g.hupu.com/nba/players/geraldgreen-1028.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/1028_263.jpg|2.03|G/F(14号)|93|507052800.0|菲尼克斯太阳||2005年第1轮第18顺位|美国|350|3年1050万，2012/7/13签，2015夏到期|9|2
10087|Anthony Tolliver|http://g.hupu.com/nba/players/anthonytolliver-3193.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/3193_394.jpg|2.03|F(40号)|109|486403200.0|菲尼克斯太阳|克雷顿大学||美国|300|2年600万，2014/7/21签，2016夏到期★15-16赛季部分保障|8|2
