ID|name|个人网址|个人头像|身高|位置|体重|生日|球队|学校|选秀|出生地|本赛季薪金|合同|常规赛参加情况|季后赛参加情况
10246|特拉维斯-奥特洛（Travis Outlaw）|http://g.hupu.com/nba/players/travisoutlaw-173.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/173_662.jpg|2.06米/6尺9|F（25号）|95公斤/210磅|1984-09-18|纽约尼克斯||2003年第1轮第23顺位|美国|300万美元|4年1200万美元，2011/12/18签，2015夏到期|13|1
10247|伊曼-香珀特（Iman Shumpert）|http://g.hupu.com/nba/players/imanshumpert-3570.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/3570.jpg|1.96米/6尺5|G/F（21号）|100公斤/220磅|1990-06-26|纽约尼克斯|乔治亚理工大学|2011年第1轮第17顺位|美国|261万美元|4年780万美元，2011/12/13签，2015夏到期|3|2
10248|巴勃罗-普里吉奥尼（Pablo Prigioni）|http://g.hupu.com/nba/players/pabloprigioni-3703.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/3703.jpg|1.91米/6尺3|G（9号）|84公斤/185磅|1977-05-17|纽约尼克斯|||阿根廷|166万美元|3年498万，2013/7/10签，2016夏到期★15-16赛季薪金只有29万受保障|2|1
10249|肖恩-拉金（Shane Larkin）|http://g.hupu.com/nba/players/shanelarkin-4791.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/4791_317.jpg|1.8米/5尺11|PG（0号）|80公斤/176磅|1992-10-02|纽约尼克斯|佛罗里达迈阿密大学|2013年第1轮第18顺位|美国|160万美元|4年738万，2013/7/29签，2017夏到期，15&amp;16夏球队选项|1|1
10250|小蒂姆-哈达威（Tim Hardaway Jr.）|http://g.hupu.com/nba/players/timhardawayjr-4814.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/4814_674.jpg|1.98米/6尺6|SG（5号）|93公斤/205磅|1992-03-16|纽约尼克斯|密歇根大学|2013年第1轮第24顺位|美国|125万美元|4年602万，2013/7/8签，2017夏到期，15&amp;16夏球队选项|1|0
10251|昆西-埃西（Quincy Acy）|http://g.hupu.com/nba/players/quincyacy-3674.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/3674_645.jpg|2.01米/6尺7|PF（4号）|109公斤/240磅|1990-10-06|纽约尼克斯|贝勒大学|2012年第2轮第7顺位|美国|91万美元|3年237万，2012/7/17签，2015夏到期★14-15赛季无保障|4|0
10252|科尔-阿尔德里奇（Cole Aldrich）|http://g.hupu.com/nba/players/colealdrich-3459.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/3459_382.jpg|2.11米/6尺11|C（45号）|111公斤/245磅|1988-10-31|纽约尼克斯|堪萨斯大学|2010年第1轮第11顺位|美国|91万美元|1年底薪，2014/7/12签，2015夏到期|6|1
10253|克利安东尼-厄利（Cleanthony Early）|http://g.hupu.com/nba/players/cleanthonyearly-4918.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/4918_642.jpg|2.03米/6尺8|SF（17号）|99公斤/219磅|1991-04-17|纽约尼克斯|威奇塔州立大学|2014年第2轮第4顺位|美国||未签约新秀|0|0
10254|Travis Wear（Travis Wear）|http://g.hupu.com/nba/players/traviswear-4991.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/4991_523.png|2.08米/6尺10|PF（6号）|104公斤/230磅|1990-09-21|纽约尼克斯|加州大学洛杉矶分校||美国|||0|0
10255|乔-约翰逊（Joe Johnson）|http://g.hupu.com/nba/players/joejohnson-188.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/188.jpg|2.01米/6尺7|G/F（7号）|109公斤/240磅|1981-06-29|布鲁克林篮网|阿肯色大学|2001年第1轮第10顺位|美国|2318万美元|6年1.236亿，2010/7/8签，2016夏到期|15|9
